,Scenario #,Logic Gate #,Logic Gate Description, Terminal Nodes,Terminal Nodes (X#s),Occurrence Probability,Phases
0,S0,0,root,N/A,N/A,N/A,N/A
1,S1,1,attack voting equipment,N/A,N/A,N/A,N/A
2,S2,1.1,gather knowledge,1.1.1,X1,0.06888888900000001,2.0
3,S2,1.1,gather knowledge,1.1.3,X9,0.2,1.0
4,S2,1.1,gather knowledge,"1.1.2.2, 1.1.2.1.1","X8, X2",0.004925925914074073,"2.0, 2.0"
5,S2,1.1,gather knowledge,"1.1.2.2, 1.1.2.1.2","X8, X3",0.0038888889,"2.0, 2.0"
6,S2,1.1,gather knowledge,"1.1.2.2, 1.1.2.1.3","X8, X4",0.0056172839493827155,"2.0, 2.0"
7,S2,1.1,gather knowledge,"1.1.2.2, 1.1.2.1.4","X8, X5",0.004753086424691357,"2.0, 1.0"
8,S2,1.1,gather knowledge,"1.1.2.2, 1.1.2.1.5","X8, X6",0.005185185225925926,"2.0, 2.0"
9,S2,1.1,gather knowledge,"1.1.2.2, 1.1.2.1.6","X8, X7",0.003370370354074073,"2.0, 2.0"
10,S3,1.1.2,from components,"1.1.2.2, 1.1.2.1.1","X8, X2",0.004925925914074073,"2.0, 2.0"
11,S3,1.1.2,from components,"1.1.2.2, 1.1.2.1.2","X8, X3",0.0038888889,"2.0, 2.0"
12,S3,1.1.2,from components,"1.1.2.2, 1.1.2.1.3","X8, X4",0.0056172839493827155,"2.0, 2.0"
13,S3,1.1.2,from components,"1.1.2.2, 1.1.2.1.4","X8, X5",0.004753086424691357,"2.0, 1.0"
14,S3,1.1.2,from components,"1.1.2.2, 1.1.2.1.5","X8, X6",0.005185185225925926,"2.0, 2.0"
15,S3,1.1.2,from components,"1.1.2.2, 1.1.2.1.6","X8, X7",0.003370370354074073,"2.0, 2.0"
16,S4,1.1.2.1,access directly,1.1.2.1.1,X2,0.06333333299999999,2.0
17,S4,1.1.2.1,access directly,1.1.2.1.2,X3,0.05,2.0
18,S4,1.1.2.1,access directly,1.1.2.1.3,X4,0.072222222,2.0
19,S4,1.1.2.1,access directly,1.1.2.1.4,X5,0.061111110999999996,1.0
20,S4,1.1.2.1,access directly,1.1.2.1.5,X6,0.066666667,2.0
21,S4,1.1.2.1,access directly,1.1.2.1.6,X7,0.043333332999999995,2.0
22,S5,1.2,gain insider access,1.2.1,X10,0.072222222,1.0
23,S5,1.2,gain insider access,1.2.2,X11,0.066666667,1.0
24,S5,1.2,gain insider access,1.2.3,X12,0.061111110999999996,2.0
25,S5,1.2,gain insider access,1.2.4,X13,0.04,2.0
26,S5,1.2,gain insider access,1.2.5,X14,0.061111110999999996,2.0
27,S6,1.3,attack component,1.3.1.1,X15,0.061111110999999996,2.0
28,S6,1.3,attack component,1.3.1.2,X16,0.066666667,2.0
29,S6,1.3,attack component,1.3.4.1,X56,0.105555556,2.0
30,S6,1.3,attack component,1.3.4.2,X57,0.072222222,2.0
31,S6,1.3,attack component,1.3.1.3.1,X17,0.04,2.0
32,S6,1.3,attack component,1.3.1.3.2,X18,0.096666667,1.0
33,S6,1.3,attack component,1.3.1.3.3,X19,0.043333332999999995,2.0
34,S6,1.3,attack component,1.3.3.1.2,X49,0.048888889000000005,2.0
35,S6,1.3,attack component,1.3.3.1.3,X50,0.05,2.0
36,S6,1.3,attack component,1.3.3.1.4,X51,0.052222222,2.0
37,S6,1.3,attack component,1.3.3.2.1,X52,0.052222222,2.0
38,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.1, 1.3.2.5.1, 1.3.2.6.1.1","X20, X21, X23, X26, X29, X33",1.3389743507448709e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
