O,0,,root,,
A,1,, attack voting equipment ,,
O,1.1,, gather knowledge,,
T, 1.1.1,X1, from insider,0.068888889,2
A, 1.1.2,, from components,,
O, 1.1.2.1,, access directly,,
T, 1.1.2.1.1,X2, infiltrate as insider,0.063333333,2
T, 1.1.2.1.2,X3, obtain a machine,0.05,2
T, 1.1.2.1.3,X4, legally acquire machine,0.072222222,2
T, 1.1.2.1.4,X5, study a machine in transit,0.061111111,1
T, 1.1.2.1.5,X6, find source code,0.066666667,2
T, 1.1.2.1.6,X7, compromise existing source code escrow,0.043333333,2
T, 1.1.2.2,X8, directly examine ,0.077777778,2
T, 1.1.3,X9, from published reports,0.2,1
O,1.2,, gain insider access,,
T, 1.2.1,X10, at voting system vendor,0.072222222,1
T, 1.2.2,X11, in supply chain,0.066666667,1
T, 1.2.3,X12, in elections org,0.061111111,2
T, 1.2.4,X13, by illegal insider entry,0.04,2
T, 1.2.5,X14, by remote network access,0.061111111,2
O,1.3,, attack component,,
O, 1.3.1,, attack hardware,,
T, 1.3.1.1,X15, jam PCOS scanner,0.061111111,2
T, 1.3.1.2,X16, attack scanner with goop pen ,0.066666667,2
O, 1.3.1.3,, attack stored components,,
T, 1.3.1.3.1,X17, swap boot media,0.04,2
T, 1.3.1.3.2,X18, attack install,0.096666667,1
T, 1.3.1.3.3,X19, destroy Removable Media ,0.043333333,2
A, 1.3.2,, attack software,,
T, 1.3.2.1,X20, develop malware ,0.077777778,2
O, 1.3.2.2,, select targets,,
T, 1.3.2.2.1,X21, select precincts by expected voting pattern ,0.122222222,2
T, 1.3.2.2.2,X22, select all precincts,0.155555556,2
O, 1.3.2.3,, inject malware,,
T, 1.3.2.3.1,X23, by remote bug exploitation,0.072222222,2
T, 1.3.2.3.2,X24, by local bug exploitation,0.061111111,2
T, 1.3.2.3.3,X25, by human interface exploit,0.061111111,2
O, 1.3.2.4,, execute malware,,
T, 1.3.2.4.1,X26, that alters artifact directly,0.052222222,2
T, 1.3.2.4.2,X27, that self-propagates,0.077777778,2
T, 1.3.2.4.3,X28, that remains resident ,0.077777778,2
O, 1.3.2.5,, mitigate risk of detection,,
T, 1.3.2.5.1,X29, coerce testing staff,0.061111111,2
T, 1.3.2.5.2,X30, attack after testing,0.066666667,2
T, 1.3.2.5.3,X31, obtain cooperation of testers,0.055555556,2
T, 1.3.2.5.4,X32, access testing scripts ,0.072222222,2
O, 1.3.2.6,, use infected component,,
O, 1.3.2.6.1,, supply cryptic knock,,
T, 1.3.2.6.1.1,X33, during logic and accuracy testing,0.061111111,1
T, 1.3.2.6.1.2,X34, during machine setup,0.066666667,1
T, 1.3.2.6.1.3,X35, during voting,0.072222222,2
T, 1.3.2.6.1.4,X36, as anti-knock,0.061111111,1
T, 1.3.2.6.1.5,X37, using AC power flicker,0.055555556,1
T, 1.3.2.6.1.6,X38, to detect realistic patterns of voting,0.088888889,1
T, 1.3.2.6.1.7,X39, to employ calendar/clock tricks,0.077777778,1
T, 1.3.2.6.1.8,X40, in ballot definition files,0.072222222,1
O, 1.3.2.6.2,, control/parameterize attack,,
T, 1.3.2.6.2.1,x41, voter enables attack as attacker ,0.055555556,2
T, 1.3.2.6.2.2,x42,"	enable by unknowing voter",0.061111111,2
T, 1.3.2.6.2.3,x43, enable by technical consultant ,0.055555556,2
T, 1.3.2.6.2.4,x44, employ unparameterized attack ,0.061111111,2
T, 1.3.2.6.2.5,x45, add commands to ballot def file,0.048888889,2
O, 1.3.3,, attack data,,
O, 1.3.3.1,, using malware,,
O, 1.3.3.1.1,, select method and alter,,
T, 1.3.3.1.1.1,X46, by malware,0.055555556,2
